iter	Passed	Remaining
0	18	12852
1	30	10547
2	34	8028
3	42	7316
4	47	6656
5	51	5968
6	63	6331
7	73	6315
8	79	6128
9	90	6232
10	102	6441
11	114	6537
12	123	6520
13	133	6563
14	144	6586
15	153	6553
16	196	7894
17	207	7858
18	217	7802
19	226	7701
20	232	7533
21	243	7511
22	252	7433
23	262	7396
24	271	7332
25	282	7313
26	292	7286
27	302	7253
28	312	7230
29	322	7196
30	331	7160
31	341	7124
32	352	7133
33	357	7001
34	367	6989
35	374	6905
36	385	6905
37	395	6898
38	406	6884
39	416	6875
40	425	6846
41	435	6829
42	446	6817
43	456	6802
44	467	6798
45	476	6780
46	487	6771
47	497	6763
48	507	6747
49	518	6739
50	527	6718
51	537	6703
52	548	6691
53	557	6667
54	567	6651
55	576	6635
56	586	6618
57	596	6607
58	607	6598
59	614	6554
60	625	6549
61	629	6474
62	638	6451
63	648	6446
64	658	6437
65	668	6426
66	679	6417
67	687	6392
68	697	6378
69	707	6371
70	717	6359
71	722	6305
72	734	6310
73	745	6305
74	755	6297
75	766	6297
76	777	6292
77	787	6281
78	798	6277
79	806	6246
80	816	6242
81	827	6234
82	836	6221
83	847	6217
84	857	6205
85	868	6197
86	878	6186
87	888	6180
88	899	6173
89	908	6159
90	919	6152
91	928	6138
92	939	6130
93	948	6116
94	959	6110
95	969	6102
96	979	6089
97	990	6085
98	1002	6084
99	1013	6081
100	1024	6074
101	1072	6285
102	1094	6343
103	1105	6333
104	1114	6314
105	1127	6315
106	1138	6308
107	1153	6321
108	1166	6323
109	1180	6330
110	1191	6321
111	1202	6313
112	1211	6293
113	1228	6313
114	1238	6298
115	1247	6282
116	1259	6277
117	1272	6275
118	1282	6259
119	1292	6245
120	1302	6234
121	1313	6222
122	1325	6218
123	1336	6208
124	1347	6199
125	1358	6190
126	1370	6182
127	1382	6176
128	1393	6169
129	1404	6157
130	1413	6139
131	1423	6124
132	1435	6118
133	1447	6114
134	1457	6098
135	1467	6084
136	1477	6073
137	1487	6056
138	1496	6040
139	1506	6026
140	1517	6017
141	1527	6003
142	1538	5990
143	1549	5983
144	1559	5969
145	1569	5957
146	1580	5944
147	1591	5935
148	1601	5920
149	1611	5909
150	1621	5896
151	1632	5885
152	1642	5873
153	1653	5861
154	1663	5849
155	1674	5840
156	1685	5829
157	1697	5821
158	1707	5809
159	1718	5799
160	1729	5790
161	1739	5776
162	1749	5764
163	1761	5755
164	1771	5744
165	1782	5732
166	1793	5722
167	1803	5711
168	1814	5702
169	1825	5692
170	1836	5682
171	1848	5673
172	1857	5659
173	1867	5646
174	1878	5635
175	1889	5624
176	1900	5614
177	1910	5601
178	1920	5588
179	1931	5580
180	1942	5571
181	1953	5560
182	1964	5550
183	1975	5540
184	1989	5539
185	2000	5526
186	2010	5515
187	2020	5502
188	2032	5495
189	2042	5482
190	2052	5469
191	2065	5464
192	2076	5454
193	2087	5443
194	2098	5433
195	2108	5422
196	2120	5413
197	2130	5401
198	2141	5391
199	2153	5382
200	2163	5370
201	2173	5359
202	2186	5352
203	2197	5342
204	2208	5332
205	2220	5323
206	2230	5311
207	2239	5297
208	2252	5290
209	2262	5278
210	2271	5265
211	2282	5253
212	2293	5244
213	2303	5231
214	2313	5219
215	2324	5207
216	2335	5198
217	2345	5186
218	2356	5175
219	2368	5167
220	2377	5153
221	2391	5148
222	2402	5138
223	2412	5126
224	2422	5114
225	2432	5101
226	2443	5090
227	2453	5078
228	2463	5067
229	2473	5054
230	2483	5042
231	2494	5031
232	2503	5017
233	2511	5001
234	2522	4991
235	2532	4978
236	2543	4968
237	2553	4957
238	2565	4949
239	2576	4938
240	2587	4927
241	2597	4915
242	2607	4904
243	2618	4893
244	2629	4883
245	2640	4872
246	2650	4861
247	2661	4850
248	2672	4840
249	2683	4829
250	2693	4818
251	2703	4807
252	2713	4795
253	2724	4784
254	2735	4774
255	2747	4764
256	2757	4753
257	2770	4746
258	2781	4736
259	2791	4724
260	2802	4713
261	2812	4702
262	2824	4693
263	2835	4682
264	2846	4672
265	2856	4660
266	2868	4651
267	2877	4638
268	2888	4628
269	2898	4616
270	2908	4604
271	2919	4594
272	2930	4583
273	2941	4573
274	2953	4563
275	2964	4554
276	2975	4543
277	2985	4532
278	2997	4523
279	3008	4512
280	3020	4503
281	3031	4492
282	3041	4482
283	3054	4474
284	3064	4462
285	3074	4450
286	3084	4438
287	3094	4426
288	3104	4414
289	3115	4404
290	3127	4395
291	3136	4382
292	3147	4372
293	3158	4361
294	3167	4349
295	3178	4337
296	3188	4326
297	3199	4315
298	3209	4304
299	3220	4293
300	3230	4282
301	3242	4273
302	3252	4261
303	3263	4250
304	3274	4240
305	3285	4230
306	3296	4219
307	3307	4209
308	3318	4199
309	3328	4187
310	3340	4178
311	3350	4166
312	3362	4157
313	3372	4145
314	3382	4133
315	3392	4122
316	3403	4111
317	3413	4100
318	3423	4088
319	3433	4077
320	3443	4066
321	3453	4054
322	3464	4043
323	3474	4032
324	3485	4021
325	3495	4010
326	3505	3998
327	3515	3987
328	3526	3976
329	3536	3965
330	3547	3954
331	3557	3943
332	3568	3933
333	3579	3922
334	3589	3911
335	3599	3899
336	3610	3888
337	3620	3877
338	3630	3866
339	3640	3854
340	3652	3845
341	3662	3834
342	3672	3822
343	3683	3812
344	3695	3802
345	3705	3791
346	3716	3780
347	3726	3769
348	3736	3757
349	3747	3747
350	3757	3735
351	3767	3724
352	3778	3714
353	3791	3705
354	3801	3694
355	3812	3683
356	3822	3672
357	3832	3661
358	3843	3650
359	3853	3639
360	3864	3628
361	3874	3618
362	3885	3606
363	3895	3595
364	3906	3585
365	3917	3575
366	3927	3564
367	3938	3552
368	3950	3543
369	3960	3532
370	3971	3521
371	3982	3511
372	3997	3504
373	4007	3493
374	4018	3482
375	4030	3473
376	4041	3462
377	4053	3452
378	4065	3443
379	4075	3432
380	4086	3421
381	4096	3410
382	4106	3399
383	4117	3388
384	4127	3376
385	4137	3365
386	4147	3354
387	4158	3343
388	4170	3334
389	4182	3324
390	4192	3312
391	4202	3301
392	4213	3291
393	4223	3280
394	4233	3268
395	4244	3258
396	4255	3247
397	4265	3236
398	4275	3225
399	4285	3213
400	4295	3203
401	4307	3192
402	4317	3182
403	4328	3171
404	4340	3161
405	4350	3150
406	4363	3141
407	4374	3131
408	4384	3119
409	4397	3110
410	4407	3099
411	4417	3088
412	4429	3078
413	4438	3066
414	4448	3055
415	4459	3044
416	4469	3032
417	4480	3022
418	4490	3011
419	4500	3000
420	4510	2988
421	4520	2978
422	4531	2967
423	4541	2956
424	4554	2946
425	4564	2935
426	4575	2925
427	4584	2913
428	4596	2903
429	4606	2892
430	4617	2881
431	4628	2871
432	4639	2861
433	4649	2849
434	4660	2838
435	4670	2828
436	4680	2816
437	4690	2805
438	4703	2796
439	4714	2785
440	4724	2774
441	4735	2763
442	4745	2752
443	4755	2742
444	4765	2730
445	4775	2719
446	4784	2708
447	4795	2697
448	4807	2687
449	4817	2676
450	4829	2666
451	4839	2655
452	4852	2645
453	4863	2635
454	4873	2624
455	4884	2613
456	4895	2602
457	4905	2592
458	4916	2581
459	4927	2570
460	4937	2559
461	4947	2548
462	4957	2537
463	4968	2527
464	4980	2516
465	4993	2507
466	5005	2497
467	5018	2487
468	5028	2476
469	5040	2466
470	5050	2455
471	5061	2445
472	5075	2435
473	5086	2425
474	5097	2414
475	5107	2403
476	5117	2392
477	5127	2381
478	5138	2370
479	5148	2359
480	5159	2349
481	5170	2338
482	5181	2328
483	5192	2317
484	5202	2306
485	5214	2296
486	5225	2285
487	5237	2275
488	5248	2264
489	5259	2254
490	5272	2244
491	5282	2233
492	5292	2222
493	5304	2212
494	5316	2201
495	5326	2190
496	5339	2180
497	5349	2169
498	5360	2159
499	5370	2148
500	5381	2137
501	5392	2126
502	5404	2116
503	5414	2105
504	5425	2095
505	5435	2083
506	5444	2072
507	5454	2061
508	5465	2050
509	5477	2040
510	5488	2029
511	5498	2019
512	5509	2008
513	5520	1997
514	5531	1986
515	5543	1976
516	5555	1966
517	5566	1955
518	5576	1944
519	5587	1934
520	5598	1923
521	5609	1912
522	5621	1902
523	5633	1892
524	5643	1881
525	5654	1870
526	5664	1859
527	5674	1848
528	5685	1837
529	5694	1826
530	5704	1815
531	5715	1804
532	5725	1793
533	5735	1782
534	5746	1772
535	5757	1761
536	5768	1750
537	5778	1739
538	5790	1729
539	5800	1718
540	5811	1707
541	5821	1697
542	5830	1685
543	5841	1675
544	5851	1664
545	5863	1653
546	5874	1643
547	5884	1632
548	5893	1621
549	5904	1610
550	5915	1599
551	5925	1588
552	5935	1577
553	5945	1566
554	5954	1555
555	5964	1544
556	5975	1534
557	5987	1523
558	6000	1513
559	6011	1502
560	6024	1492
561	6034	1481
562	6043	1470
563	6054	1460
564	6065	1449
565	6077	1438
566	6089	1428
567	6101	1417
568	6112	1407
569	6123	1396
570	6133	1385
571	6143	1374
572	6153	1363
573	6163	1352
574	6175	1342
575	6186	1331
576	6197	1321
577	6209	1310
